ResponseID,Segment,Timestamp,Q1_Ships_Goods,Q2_Role,Q3_Annual_Shipments,Q4_Annual_Revenue,Q5_Employee_Count,Q6_Industry,Q7_Business_Model,Q8_Avg_Shipment_Value,Q9_Shipping_Regions,Q10_Company_Age,Q11_HQ_Location,Q12_Transportation_Modes,Q13_Supply_Chain_Software,Q14_Monitoring_Methods,Q15_Delays_Rate,Q15_Damage_Rate,Q15_Loss_Rate,Q15_Customs_Rate,Q15_Documentation_Rate,Q16_Advance_Notice,Q17_Risk_Manager,Q18_Have_Insurance,Q19_Purchase_Method,Q20_Coverage_Types,Q21_Insurance_Frustrations,Q22_Filed_Claim,Q23_Supply_Chain_Challenges,Q24_Annual_Disruption_Cost,Q25_Switch_Factors,Q26_Rank_Price_Cost,Q26_Rank_Coverage_comprehensiveness,Q26_Rank_Speed_of_claims_payout,Q26_Rank_Ease_of_purchase_use,Q26_Rank_Real-time_risk_data_insights,Q27_Valuable_Features,Q28_Integration_Importance,Q29_Proactive_Alerts_Value,Q30_Influential_Data_Points,Q31_Current_Insurance_Spend_Pct,Q32_WTP_50K_Shipment,Q33_SaaS_Subscription_Willingness,Q34_Tech_Adoption_Approach,Q35_Recent_Tech_Adoptions,Q36_API_Comfort,Q37_Adoption_Barriers,Q38_Interest_Level,Q39_NPS_Score,Q40_Additional_Features,Q41_Final_Thoughts,Q42_Follow_Up_Interest
R0268,tech_savvy_sme,2024-01-23 17:09:00,"Yes, both international and domestic",Operations Manager,51-200 shipments/year,$5M - $10M,11-50 (Small business),Electronics & Technology,B2B (selling to other businesses),"$5,000 - $10,000",Asia-Pacific|Middle East,3-5 years,United States,Air freight|Ocean freight (container ships),"E-commerce platform (Shopify, WooCommerce, Amazon)|ERP System (SAP, Oracle, NetSuite, etc.)|Freight forwarder platform (Flexport, Freightos, etc.)|Warehouse Management System (WMS)",Automated tracking notifications|Manual check-ins with vendors|Periodic updates from carrier/forwarder|Real-time GPS tracking,1-5%,6-10%,1-5%,6-10%,0%,4-7 days,Operations manager,"Yes, we have basic carrier liability coverage",Included in carrier's liability coverage|Per-shipment through our shipping software,War/terrorism/political risk|Weather-related damage,Doesn't integrate with our existing systems|Lack of transparency in pricing|Too expensive for the coverage provided,"No, but we've experienced losses",Inability to assess risk before shipping|Rising freight costs|Unpredictable delays,"Less than $5,000",Easier purchasing process|Integration with existing software|Proactive risk alerts|Transparent pricing,3,4,2,5,1,API access for custom integrations|Ability to insure individual shipments (not annual policy)|Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Integration with existing logistics software|Mobile app for on-the-go management,Somewhat important (nice to have),Very valuable - helpful information,Customs delay likelihood|Weather forecasts on route,Less than 0.1%,$150 - $250,"Yes, definitely worth it",Early adopter - we love trying new tools,API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software|IoT sensors for shipment tracking,Comfortable - we can handle basic integrations,Concerns about data security/privacy,Very interested - would request a demo/trial,9,Mobile app with push notifications,No additional thoughts,Yes - keep me updated
R0269,traditional_midsize,2024-01-23 17:56:00,"Yes, domestically only (within one country)",Supply Chain/Logistics Manager,"501-1,000 shipments/year",$10M - $50M,11-50 (Small business),Manufacturing (Industrial goods),B2B (selling to other businesses),"$25,000 - $50,000",Asia-Pacific|Middle East,10+ years,European Union,Intermodal (combination)|Ocean freight (container ships)|Rail freight,"E-commerce platform (Shopify, WooCommerce, Amazon)|Freight forwarder platform (Flexport, Freightos, etc.)|Transportation Management System (TMS)",Automated tracking notifications|Manual check-ins with vendors,1-5%,6-10%,0%,6-10%,1-5%,1-3 days,Finance/CFO,"Yes, we insure on a per-shipment basis",Annual policy through a traditional insurance broker,Physical damage/loss of goods|Weather-related damage,Complex policies (hard to understand what's covered)|Slow claims processing|Too expensive for the coverage provided,"Yes, and it was resolved satisfactorily",Carrier reliability issues|Managing multiple carriers/vendors,"$5,000 - $25,000",Better customer service|Easier purchasing process|Faster claims processing|Integration with existing software|Proactive risk alerts|Transparent pricing,2,1,3,4,3,"Ability to insure individual shipments (not annual policy)|Instant quote generation|Mobile app for on-the-go management|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment",Somewhat important (nice to have),Very valuable - helpful information,Carrier performance ratings (on-time %)|Historical loss rates on this route|Port congestion levels,0.5% - 1%,$50 - $100,"Yes, if it includes X free insurance quotes per month",Cautious - we prefer established solutions,API integrations between business systems,Somewhat comfortable - we'd need vendor support,Internal resistance to change|Regulatory/compliance concerns|Switching costs from current provider,Very interested - would request a demo/trial,8,Historical analytics export,Concerned about implementation complexity,Yes - keep me updated
R0270,traditional_midsize,2024-01-23 18:43:00,"Yes, internationally (cross-border shipments)",Supply Chain/Logistics Manager,51-200 shipments/year,$50M - $100M,51-200 (Medium business),Pharmaceuticals/Healthcare,Distributor/Wholesaler,"$10,000 - $25,000",Africa|Asia-Pacific|Europe,1-3 years,United States,"Courier/Express (DHL, FedEx, UPS)","E-commerce platform (Shopify, WooCommerce, Amazon)|ERP System (SAP, Oracle, NetSuite, etc.)|Excel/Manual tracking|Freight forwarder platform (Flexport, Freightos, etc.)",Manual check-ins with vendors|Real-time GPS tracking,6-10%,1-5%,1-5%,6-10%,1-5%,Less than 24 hours,Operations manager,"Yes, we have comprehensive annual cargo insurance",Directly from an insurance company,Customs seizure|Physical damage/loss of goods|Spoilage (for perishables)|Theft,Slow claims processing|Too expensive for the coverage provided,"Yes, and it was resolved satisfactorily",Managing multiple carriers/vendors|Unpredictable delays,"Less than $5,000",Better coverage options|Faster claims processing|Integration with existing software|Per-shipment flexibility|Proactive risk alerts|Transparent pricing,3,1,3,4,5,"Automated claims processing|Instant quote generation|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment",Somewhat important (nice to have),Very valuable - helpful information,"Fuel price trends|Geopolitical risk alerts (strikes, tariffs, instability)|Port congestion levels",0.3% - 0.5%,$50 - $100,"Yes, if it includes X free insurance quotes per month",Conservative - we stick with what works,API integrations between business systems|Cloud-based ERP/supply chain software,Somewhat comfortable - we'd need vendor support,Internal resistance to change|Lack of trust in a new/unknown company|Switching costs from current provider,Not interested - happy with current solution,0,None at this time,Interested in pilot program,Yes - keep me updated
R0271,enterprise,2024-01-23 19:30:00,"Yes, internationally (cross-border shipments)",Supply Chain/Logistics Manager,"1,001-5,000 shipments/year",$5M - $10M,500+ (Enterprise),Other,Both B2B and B2C,"$50,000 - $100,000",Europe|North America,10+ years,United States,Air freight,"E-commerce platform (Shopify, WooCommerce, Amazon)|Excel/Manual tracking|Freight forwarder platform (Flexport, Freightos, etc.)|Warehouse Management System (WMS)","Automated tracking notifications|IoT sensors (temperature, shock, location)|Periodic updates from carrier/forwarder|Real-time GPS tracking",11-20%,1-5%,0%,6-10%,1-5%,1-2 weeks,Dedicated risk/insurance manager,"Yes, we have comprehensive annual cargo insurance",Directly from an insurance company|Included in carrier's liability coverage,Customs seizure|Delay/late delivery|Physical damage/loss of goods|Theft,Complex policies (hard to understand what's covered)|Poor customer service|Slow claims processing,"Yes, and it was resolved satisfactorily",Lack of real-time visibility|Port congestion|Unpredictable delays,"$100,000 - $500,000",Better coverage options|Integration with existing software|Lower cost|Per-shipment flexibility,3,5,2,5,5,"API access for custom integrations|Integration with existing logistics software|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment|White-label option for customer-facing use",Somewhat important (nice to have),Extremely valuable - would change our shipping decisions,Carrier performance ratings (on-time %)|Historical loss rates on this route,0.5% - 1%,$150 - $250,"Yes, if it includes X free insurance quotes per month",Cautious - we prefer established solutions,AI/machine learning tools (any use case)|API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software|IoT sensors for shipment tracking,Very comfortable - we have in-house developers,Concerns about data security/privacy|Regulatory/compliance concerns|Switching costs from current provider,Very interested - would request a demo/trial,9,Customizable dashboard,No additional thoughts,Yes - keep me updated
R0272,traditional_midsize,2024-01-23 20:17:00,"Yes, both international and domestic",Supply Chain/Logistics Manager,"501-1,000 shipments/year",$5M - $10M,201-500 (Medium-large),Manufacturing (Industrial goods),B2B (selling to other businesses),"$10,000 - $25,000",Asia-Pacific|North America,10+ years,United States,Ocean freight (container ships),"ERP System (SAP, Oracle, NetSuite, etc.)|Excel/Manual tracking|Freight forwarder platform (Flexport, Freightos, etc.)",Automated tracking notifications|Real-time GPS tracking,6-10%,1-5%,0%,1-5%,0%,1-2 weeks,Operations manager,Sometimes (only for high-value shipments),Annual policy through a traditional insurance broker|Through our freight forwarder,Physical damage/loss of goods|Spoilage (for perishables)|War/terrorism/political risk,Complex policies (hard to understand what's covered)|Poor customer service,"Yes, but the process was difficult/unsatisfactory",Damage to goods in transit|Unpredictable delays,"$5,000 - $25,000",Better coverage options|Faster claims processing|Integration with existing software|Lower cost|Per-shipment flexibility,2,1,3,4,5,Ability to insure individual shipments (not annual policy)|Automated claims processing|Dynamic pricing based on actual risk (not flat rates),Very important (strong preference),Extremely valuable - would change our shipping decisions,Carrier performance ratings (on-time %)|Port congestion levels|Weather forecasts on route,0.5% - 1%,$100 - $150,"Yes, if it includes X free insurance quotes per month",Cautious - we prefer established solutions,API integrations between business systems|Mobile-first business applications,Not sure/Don't know,Lack of trust in a new/unknown company|Regulatory/compliance concerns,Slightly interested - might consider in the future,6,Mobile app with push notifications,Concerned about implementation complexity,No thanks
R0273,tech_savvy_sme,2024-01-23 21:04:00,"Yes, both international and domestic",Owner/Founder/C-Suite Executive,201-500 shipments/year,$1M - $5M,51-200 (Medium business),Other,B2C (selling directly to consumers),"$50,000 - $100,000",Middle East,3-5 years,United States,Air freight|Ocean freight (container ships)|Road freight (trucking),"ERP System (SAP, Oracle, NetSuite, etc.)|Freight forwarder platform (Flexport, Freightos, etc.)|Shipment tracking tools (Project44, FourKites)|Warehouse Management System (WMS)",Manual check-ins with vendors|Periodic updates from carrier/forwarder,11-20%,1-5%,0%,1-5%,0%,Less than 24 hours,External consultant/broker,"Yes, we have comprehensive annual cargo insurance",Annual policy through a traditional insurance broker,Physical damage/loss of goods|Spoilage (for perishables)|Theft|War/terrorism/political risk|Weather-related damage,Doesn't integrate with our existing systems|Lack of transparency in pricing|Too expensive for the coverage provided,"Yes, but the process was difficult/unsatisfactory",Inability to assess risk before shipping|Lack of real-time visibility|Rising freight costs,"$5,000 - $25,000",Integration with existing software|Lower cost|Per-shipment flexibility|Proactive risk alerts,3,4,2,5,1,Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Integration with existing logistics software|Mobile app for on-the-go management|Real-time risk scoring for each shipment,Extremely important (deal-breaker if not available),Somewhat valuable,"Fuel price trends|Geopolitical risk alerts (strikes, tariffs, instability)|Port congestion levels",0.5% - 1%,$150 - $250,"Yes, definitely worth it",Early adopter - we love trying new tools,AI/machine learning tools (any use case)|API integrations between business systems|Blockchain for supply chain transparency|Mobile-first business applications,Very comfortable - we have in-house developers,Time required to set up/integrate,Extremely interested - would sign up immediately,10,Dedicated account manager,No additional thoughts,Yes - keep me updated
R0274,price_sensitive_small,2024-01-23 21:51:00,"Yes, both international and domestic",Procurement/Purchasing Manager,51-200 shipments/year,$10M - $50M,11-50 (Small business),E-commerce/Retail,Distributor/Wholesaler,"$5,000 - $10,000",Africa|Asia-Pacific|Europe,10+ years,United Kingdom,Air freight|Ocean freight (container ships)|Road freight (trucking),"E-commerce platform (Shopify, WooCommerce, Amazon)",Automated tracking notifications|Manual check-ins with vendors,11-20%,0%,0%,0%,11-20%,4-7 days,No one specifically,"Yes, we have comprehensive annual cargo insurance",Annual policy through a traditional insurance broker|Online insurance platform,Customs seizure|Delay/late delivery|Physical damage/loss of goods|Theft|War/terrorism/political risk,Difficult to purchase/too much paperwork|Too expensive for the coverage provided,"Yes, but the claim was denied",Cash flow disruption from losses|Damage to goods in transit|Difficulty accessing insurance,Not sure/Don't track this,Better customer service|Faster claims processing|Integration with existing software|Proactive risk alerts|Real-time risk insights,1,3,2,3,2,Automated claims processing|Instant quote generation|Mobile app for on-the-go management,Not important (happy to use a separate tool),Extremely valuable - would change our shipping decisions,Current insurance cost for this route|Customs delay likelihood|Weather forecasts on route,0.5% - 1%,$100 - $150,"Maybe, depends on the exact features",Early adopter - we love trying new tools,API integrations between business systems|Mobile-first business applications,Somewhat comfortable - we'd need vendor support,Budget constraints|Uncertainty about actual cost savings,Slightly interested - might consider in the future,6,Bulk policy management,Want to understand data privacy policies,Yes - keep me updated
R0275,price_sensitive_small,2024-01-23 22:38:00,"Yes, domestically only (within one country)",Owner/Founder/C-Suite Executive,51-200 shipments/year,$500K - $1M,11-50 (Small business),Food & Beverage,B2B (selling to other businesses),"$50,000 - $100,000",Asia-Pacific|Europe,1-3 years,United States,Air freight|Ocean freight (container ships),"E-commerce platform (Shopify, WooCommerce, Amazon)|Excel/Manual tracking",Manual check-ins with vendors|Periodic updates from carrier/forwarder,6-10%,1-5%,0%,1-5%,0%,Less than 24 hours,CEO/Owner,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"Yes, but the process was difficult/unsatisfactory",Damage to goods in transit|Rising freight costs,"$25,000 - $100,000",Better customer service|Per-shipment flexibility|Proactive risk alerts|Transparent pricing,5,3,5,4,5,Ability to insure individual shipments (not annual policy)|Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Instant quote generation,Somewhat important (nice to have),Very valuable - helpful information,"Current insurance cost for this route|Geopolitical risk alerts (strikes, tariffs, instability)|Historical loss rates on this route",Not applicable - we don't have insurance,$250 - $500,"Yes, definitely worth it",Early adopter - we love trying new tools,Mobile-first business applications,Not comfortable - we prefer plug-and-play solutions,Budget constraints|Time required to set up/integrate|Uncertainty about actual cost savings,Slightly interested - might consider in the future,5,Automated risk reports sent weekly,No additional thoughts,No thanks
R0276,price_sensitive_small,2024-01-23 23:25:00,"Yes, domestically only (within one country)",Owner/Founder/C-Suite Executive,201-500 shipments/year,$10M - $50M,11-50 (Small business),Fashion & Apparel,B2C (selling directly to consumers),"$5,000 - $10,000",Asia-Pacific,10+ years,European Union,Ocean freight (container ships)|Rail freight|Road freight (trucking),"E-commerce platform (Shopify, WooCommerce, Amazon)",We don't actively monitor shipments,1-5%,0%,0%,1-5%,6-10%,1-3 days,No one specifically,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"No, but we've experienced losses",Damage to goods in transit|Difficulty accessing insurance,"Less than $5,000",Better customer service|Easier purchasing process|Faster claims processing|Per-shipment flexibility|Real-time risk insights|Transparent pricing,1,3,2,4,5,Ability to insure individual shipments (not annual policy)|Dynamic pricing based on actual risk (not flat rates)|Instant quote generation,Extremely important (deal-breaker if not available),Somewhat valuable,Customs delay likelihood|Fuel price trends,Not applicable - we don't have insurance,$50 - $100,"No, not interested in a subscription model",Fast follower - we adopt once proven,Mobile-first business applications,Comfortable - we can handle basic integrations,Time required to set up/integrate|Uncertainty about actual cost savings,Slightly interested - might consider in the future,5,None at this time,No additional thoughts,Yes - keep me updated
R0277,tech_savvy_sme,2024-01-24 00:12:00,"Yes, internationally (cross-border shipments)",Owner/Founder/C-Suite Executive,51-200 shipments/year,$1M - $5M,1-10 (Micro business),Consumer Goods (FMCG),B2B (selling to other businesses),"$10,000 - $25,000",Asia-Pacific|Middle East|North America,3-5 years,European Union,"Air freight|Courier/Express (DHL, FedEx, UPS)|Intermodal (combination)|Rail freight","E-commerce platform (Shopify, WooCommerce, Amazon)|Shipment tracking tools (Project44, FourKites)|Transportation Management System (TMS)|Warehouse Management System (WMS)",Automated tracking notifications|Periodic updates from carrier/forwarder|Real-time GPS tracking,6-10%,6-10%,0%,6-10%,6-10%,2-4 weeks,CEO/Owner,Sometimes (only for high-value shipments),Annual policy through a traditional insurance broker|Online insurance platform,Delay/late delivery|Physical damage/loss of goods|War/terrorism/political risk,Lack of transparency in pricing|Too expensive for the coverage provided,"Yes, and it was resolved satisfactorily",Lack of real-time visibility|Rising freight costs|Unpredictable delays,Not sure/Don't track this,Better customer service|Easier purchasing process|Transparent pricing,3,4,2,5,1,"Automated claims processing|Instant quote generation|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment",Somewhat important (nice to have),Extremely valuable - would change our shipping decisions,Carrier performance ratings (on-time %)|Customs delay likelihood,0.1% - 0.3%,$50 - $100,"Yes, if it includes X free insurance quotes per month",Early adopter - we love trying new tools,API integrations between business systems|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software|Mobile-first business applications,Comfortable - we can handle basic integrations,Concerns about data security/privacy,Slightly interested - might consider in the future,6,Dedicated account manager,No additional thoughts,Yes - keep me updated
R0278,price_sensitive_small,2024-01-24 00:59:00,"Yes, internationally (cross-border shipments)",Owner/Founder/C-Suite Executive,51-200 shipments/year,Less than $500K,11-50 (Small business),Food & Beverage,Manufacturer,"$10,000 - $25,000",Asia-Pacific|Middle East,10+ years,Other,Intermodal (combination)|Ocean freight (container ships),None of the above,Automated tracking notifications|Periodic updates from carrier/forwarder,6-10%,0%,0%,11-20%,6-10%,4-7 days,Supply chain/logistics team,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"Yes, but the claim was denied",Cash flow disruption from losses|Damage to goods in transit,"$5,000 - $25,000",Better customer service|Faster claims processing|Integration with existing software|Lower cost|Proactive risk alerts|Transparent pricing,1,3,2,4,5,Ability to insure individual shipments (not annual policy)|Automated claims processing|Mobile app for on-the-go management,Somewhat important (nice to have),Somewhat valuable,"Customs delay likelihood|Fuel price trends|Geopolitical risk alerts (strikes, tariffs, instability)",Not applicable - we don't have insurance,$50 - $100,"Maybe, depends on the exact features",Resistant - we avoid change unless necessary,None of the above,Not comfortable - we prefer plug-and-play solutions,Budget constraints|Time required to set up/integrate|Uncertainty about actual cost savings,Very interested - would request a demo/trial,8,Historical analytics export,Concerned about implementation complexity,No thanks
R0279,price_sensitive_small,2024-01-24 01:46:00,"Yes, domestically only (within one country)",Operations Manager,201-500 shipments/year,$5M - $10M,51-200 (Medium business),Food & Beverage,Retailer,"$25,000 - $50,000",Africa,5-10 years,European Union,Air freight,Excel/Manual tracking,We don't actively monitor shipments,1-5%,6-10%,0%,6-10%,11-20%,1-2 weeks,No one specifically,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"No, but we've experienced losses",Cash flow disruption from losses|Difficulty accessing insurance|Rising freight costs,"Less than $5,000",Better customer service|Easier purchasing process|Integration with existing software|Per-shipment flexibility|Proactive risk alerts,1,3,2,3,5,Ability to insure individual shipments (not annual policy)|Automated claims processing|Dynamic pricing based on actual risk (not flat rates),Somewhat important (nice to have),Somewhat valuable,"Geopolitical risk alerts (strikes, tariffs, instability)|Port congestion levels|Weather forecasts on route",Not applicable - we don't have insurance,$150 - $250,"Maybe, depends on the exact features",Conservative - we stick with what works,None of the above,Not comfortable - we prefer plug-and-play solutions,Budget constraints|Time required to set up/integrate|Uncertainty about actual cost savings,Very interested - would request a demo/trial,9,Dedicated account manager,"Sounds interesting, would like to see a demo",No thanks
R0280,enterprise,2024-01-24 02:33:00,"Yes, domestically only (within one country)",Supply Chain/Logistics Manager,201-500 shipments/year,$100M+,500+ (Enterprise),Consumer Goods (FMCG),B2B (selling to other businesses),"$50,000 - $100,000",Africa,5-10 years,United States,Intermodal (combination)|Rail freight,"E-commerce platform (Shopify, WooCommerce, Amazon)|Excel/Manual tracking|Transportation Management System (TMS)|Warehouse Management System (WMS)","Automated tracking notifications|IoT sensors (temperature, shock, location)|Periodic updates from carrier/forwarder|Real-time GPS tracking",21%+,6-10%,0%,6-10%,0%,1-2 weeks,Supply chain/logistics team,"Yes, we have comprehensive annual cargo insurance",Directly from an insurance company,Customs seizure|Delay/late delivery|Physical damage/loss of goods|Spoilage (for perishables)|Theft|Weather-related damage,Complex policies (hard to understand what's covered)|Poor customer service|Slow claims processing,"No, but we've experienced losses",Carrier reliability issues|Customs/compliance issues|Port congestion,"$25,000 - $100,000",Easier purchasing process|Integration with existing software|Lower cost,3,2,1,4,5,"API access for custom integrations|Automated claims processing|Historical shipment risk analytics|Integration with existing logistics software|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment|Route optimization recommendations|White-label option for customer-facing use",Extremely important (deal-breaker if not available),Somewhat valuable,Carrier performance ratings (on-time %)|Fuel price trends,2%+,$150 - $250,"Yes, if it includes X free insurance quotes per month",Resistant - we avoid change unless necessary,API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency|Mobile-first business applications,Comfortable - we can handle basic integrations,Switching costs from current provider|Time required to set up/integrate,Extremely interested - would sign up immediately,10,Dedicated account manager,No additional thoughts,Yes - keep me updated
R0281,tech_savvy_sme,2024-01-24 03:20:00,"Yes, internationally (cross-border shipments)",Procurement/Purchasing Manager,201-500 shipments/year,$10M - $50M,201-500 (Medium-large),Automotive Parts,B2C (selling directly to consumers),"$25,000 - $50,000",Europe,5-10 years,Canada,Ocean freight (container ships)|Rail freight,"E-commerce platform (Shopify, WooCommerce, Amazon)|ERP System (SAP, Oracle, NetSuite, etc.)|Shipment tracking tools (Project44, FourKites)|Transportation Management System (TMS)","IoT sensors (temperature, shock, location)|Manual check-ins with vendors",1-5%,1-5%,0%,1-5%,1-5%,2-4 weeks,CEO/Owner,"Yes, we have basic carrier liability coverage",Directly from an insurance company,Delay/late delivery|Physical damage/loss of goods|Theft,Doesn't integrate with our existing systems|Lack of transparency in pricing|One-size-fits-all pricing (doesn't reflect actual risk)|Too expensive for the coverage provided,"No, but we've experienced losses",Cash flow disruption from losses|Inability to assess risk before shipping|Rising freight costs,"$5,000 - $25,000",Per-shipment flexibility|Real-time risk insights|Transparent pricing,3,4,2,5,1,"API access for custom integrations|Ability to insure individual shipments (not annual policy)|Instant quote generation|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment",Extremely important (deal-breaker if not available),Somewhat valuable,Current insurance cost for this route|Historical loss rates on this route|Port congestion levels,Less than 0.1%,$250 - $500,"Yes, if it includes X free insurance quotes per month",Early adopter - we love trying new tools,Automated data analytics/dashboards|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software,Comfortable - we can handle basic integrations,Lack of trust in a new/unknown company|Time required to set up/integrate,Extremely interested - would sign up immediately,10,None at this time,Would like case studies from similar companies,No thanks
R0282,enterprise,2024-01-24 04:07:00,"Yes, internationally (cross-border shipments)",Procurement/Purchasing Manager,"5,000+ shipments/year",$50M - $100M,500+ (Enterprise),Electronics & Technology,B2B (selling to other businesses),"$10,000 - $25,000",Europe|Latin America|North America,5-10 years,Asia-Pacific,Intermodal (combination)|Ocean freight (container ships),"E-commerce platform (Shopify, WooCommerce, Amazon)|ERP System (SAP, Oracle, NetSuite, etc.)|Excel/Manual tracking|Freight forwarder platform (Flexport, Freightos, etc.)","Automated tracking notifications|IoT sensors (temperature, shock, location)|Real-time GPS tracking",21%+,0%,0%,1-5%,1-5%,1-2 weeks,Supply chain/logistics team,Sometimes (only for high-value shipments),Through our freight forwarder,Customs seizure|Physical damage/loss of goods|Theft|Weather-related damage,Complex policies (hard to understand what's covered)|Coverage exclusions are too broad|Slow claims processing,"Yes, and it was resolved satisfactorily",Lack of real-time visibility|Unpredictable delays,"$100,000 - $500,000",Integration with existing software|Lower cost|Real-time risk insights|Transparent pricing,3,2,1,4,5,"Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Instant quote generation|Integration with existing logistics software|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment|Route optimization recommendations|White-label option for customer-facing use",Extremely important (deal-breaker if not available),Somewhat valuable,Current insurance cost for this route|Customs delay likelihood,0.1% - 0.3%,Less than $50,"Yes, definitely worth it",Fast follower - we adopt once proven,AI/machine learning tools (any use case)|API integrations between business systems|Blockchain for supply chain transparency|Mobile-first business applications,Somewhat comfortable - we'd need vendor support,Concerns about data security/privacy|Switching costs from current provider|Time required to set up/integrate,Very interested - would request a demo/trial,8,Dedicated account manager,No additional thoughts,No thanks
R0283,traditional_midsize,2024-01-24 04:54:00,"Yes, both international and domestic",Procurement/Purchasing Manager,201-500 shipments/year,$10M - $50M,11-50 (Small business),Consumer Goods (FMCG),Manufacturer,"$100,000 - $500,000",Asia-Pacific|Latin America,3-5 years,United States,Air freight|Road freight (trucking),"E-commerce platform (Shopify, WooCommerce, Amazon)|ERP System (SAP, Oracle, NetSuite, etc.)|Warehouse Management System (WMS)",Real-time GPS tracking,6-10%,1-5%,0%,1-5%,0%,4-7 days,Operations manager,"Yes, we have comprehensive annual cargo insurance",Annual policy through a traditional insurance broker|Through our freight forwarder,Customs seizure|Spoilage (for perishables)|War/terrorism/political risk|Weather-related damage,Complex policies (hard to understand what's covered)|Slow claims processing,"Yes, and it was resolved satisfactorily",Damage to goods in transit|Managing multiple carriers/vendors|Unpredictable delays,"$5,000 - $25,000",Easier purchasing process|Integration with existing software|Lower cost|Per-shipment flexibility|Transparent pricing,2,1,3,3,5,"Ability to insure individual shipments (not annual policy)|Dynamic pricing based on actual risk (not flat rates)|Mobile app for on-the-go management|Proactive alerts (weather, port delays, carrier issues)",Extremely important (deal-breaker if not available),Extremely valuable - would change our shipping decisions,"Current insurance cost for this route|Geopolitical risk alerts (strikes, tariffs, instability)|Port congestion levels",0.1% - 0.3%,Less than $50,"Yes, definitely worth it",Conservative - we stick with what works,AI/machine learning tools (any use case),Not sure/Don't know,Regulatory/compliance concerns|Switching costs from current provider,Extremely interested - would sign up immediately,10,Integration with QuickBooks for accounting,No additional thoughts,No thanks
R0284,price_sensitive_small,2024-01-24 05:41:00,"Yes, both international and domestic",Owner/Founder/C-Suite Executive,201-500 shipments/year,$500K - $1M,1-10 (Micro business),Consumer Goods (FMCG),B2B (selling to other businesses),"Less than $5,000",Europe|Latin America|North America,5-10 years,European Union,Air freight|Intermodal (combination)|Road freight (trucking),None of the above,We don't actively monitor shipments,11-20%,1-5%,0%,1-5%,1-5%,4-7 days,No one specifically,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"No, we've never needed to",Damage to goods in transit|Difficulty accessing insurance,"$25,000 - $100,000",Better coverage options|Better customer service|Faster claims processing|Integration with existing software|Per-shipment flexibility|Real-time risk insights,1,3,2,4,5,Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Instant quote generation,Very important (strong preference),Very valuable - helpful information,"Customs delay likelihood|Geopolitical risk alerts (strikes, tariffs, instability)|Historical loss rates on this route",Not applicable - we don't have insurance,$100 - $150,"Yes, definitely worth it",Fast follower - we adopt once proven,API integrations between business systems,Somewhat comfortable - we'd need vendor support,Budget constraints|Time required to set up/integrate,Moderately interested - would like to learn more,6,None at this time,Would like case studies from similar companies,No thanks
